Year;CustomerID;Name;Email;Answer
2020;79;Marissa Melo;M_Marissa@ajasv.com;For motivation to be successful, goals need to be specific. 
2020;80;Emory Eggen;Emory_Eggen@dot.net;None of the greatest human goals have been easy. We seem to be hard wired to rise to a challenge. 
2020;81;Tawanda Talarico ;T.Tawanda@ukr.net;Studies have shown that people are more successful attaining difficult goals than easy ones.
2020;82;Elvera Embree;EmbreeJElvera@gmail.com;Feedback and evaluation is critical to goal success. It must be provided when goal is achieved.
2020;83;Margarito Maez;Margarito.M@mail.ru;Rewards help. Whether it’s a financial reward (bonus), or a personal reward
2020;84;Stacee Sasaki;SStacee@ajasv.com;Learning goals leads to higher achievement than performance goals. If you have to learn something new in order to achieve the goal you have a greater probability of success.
2020;85;Rashida Reddin;RReddin@dot.net;How do you hold yourself accountable? Tell someone. Your partner, a parent, a trusted friend. If your goal is to run a marathon, join a community of runners. Post on one of the many exercise apps.
2020;86;Venice Venema;Venema.Venice@ukr.net;We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard, because that goal will serve to organize and measure the best of our energies and skills, because that challenge is one that we are willing to accept, one we are unwilling to postpone, and one which we intend to win
2020;87;Isis Ivy;IIsis@gmail.com;Personal goals should align with your personal values and strengths.
2020;88;Dorothy Dittmer;Dorothy_D@mail.ru;turn off your notifications and think about your personal values and strengths. Then develop a goal that reflects. I am confident you can motivate yourself to accomplish that goal.
2020;89;Wanda Wax;Wanda_W@ajasv.com;"Identify, clarify and maintain focus on your goals, while being true to your strengths and values;"
2020;90;Caroll Carmona;CarollC@dot.net;Identify your choices and move into action.
2020;91;Catarina Corman ;Catarina.C@ukr.net;Establish your own solutions & strategies
2020;92;Idalia Ickes;Ickes88.I@gmail.com;A coach will hold me accountable – for what I say I’m going to do
2020;93;Jolynn Juliano;J.Jolynn9@mail.ru;A coach will encourage, support & believe in me! Even when I do not! A professional coach will be your greatest champion!
2020;94;Bryon Bezio;Bryon_B@ajasv.com;A professional coach will CHALLENGE me and help you to recognize where you may be holding yourself back
2020;95;Slyvia Schiel;SSchiel@dot.net;Follow and effective ethical standard.
2020;96;Carry Claus;C_Claus@ukr.net;Facing obstacles in a realistic way and understanding opportunities, is not always as obvious and easy for everyone.The person must want their goal enough.
2020;97;Emeline Edick;Edick.Emeline@gmail.com;Articulate your goal succinctly and craft it to reflect your purpose. We focus on the ‘what’ and ‘when’ and define the goal
2020;98;Caroline Crosbie;C.Caroline@mail.ru;Accurately calculate the ‘opportunity loss’ of not achieving one’s goal We tend to overvalue the power of our will-power and under-value the damage caused of not being on track. 
2020;99;Iona Irick;pallen70@hotmail.com;Fuel a growth mindset. Consider asking “have you achieved your goal” to a few people. One set would bluntly reply “no” while the second set might say “not yet”. The latter is an example of growth mindset.
2020;100;Clelia Cedeno ;phillip.allen@enron.com;I try conquer my goal and become the best version of myself.
